INFO [config.py:54]:2025-09-22 12:19:14,425:PyTorch version 2.5.1 available.
INFO [timing.py:139]:2025-09-22 12:51:43,859:TIMING: Wall: 112726.0ms | CPU: 761710.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:51:43,863: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:51:44,337:TIMING: Wall:  474.9ms | CPU:   10.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:51:48,223:User: admin_compliance ingesting file: /tmp/gradio/371eb14d8fb753cc18d9aa0359a50606b16b1977057333dc360eeeccbe355435/KISTERS_IS_Leitlinie.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:51:48,225:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_Leitlinie.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:51:48,233:Date extracted for markitdown for KISTERS_IS_Leitlinie.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:51:48,233:Cache not found for this file KISTERS_IS_Leitlinie.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:51:48,235:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:51:48,237:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:51:48,237:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
WARNING [accelerator_utils.py:66]:2025-09-22 12:51:48,238:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:51:48,238:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:51:48,852:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:51:48,852:Accelerator device: 'cpu'
INFO [base_pipeline.py:39]:2025-09-22 12:51:49,171:Processing document KISTERS_IS_Leitlinie.pdf
INFO [document_converter.py:299]:2025-09-22 12:52:11,865:Finished converting document KISTERS_IS_Leitlinie.pdf in 23.63 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:52:11,905:Saving png for file KISTERS_IS_Leitlinie.pdf, total pages: 10
INFO [docling_parse_process.py:537]:2025-09-22 12:52:14,488:Docling parsing successful for file KISTERS_IS_Leitlinie.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:52:14,517:Chunking document of 19 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:52:14,548:ingesting 10 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:52:14,929:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:52:14,939:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:52:14,956:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:52:18,891:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:52:27,564:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:52:27,593: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_Leitlinie.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
INFO [timing.py:139]:2025-09-22 12:52:27,594:TIMING: Wall: 39372.1ms | CPU: 294970.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:52:27,598: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:52:28,133:TIMING: Wall:  535.8ms | CPU:   10.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:52:58,689:User: admin_compliance ingesting file: /tmp/gradio/ef8504032dc5be6ebde8fcfa42b8a116f120a54e6b8a7f7afd84855e930c6391/KISTERS_IS_PasswortRichtlinie.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:52:58,691:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_PasswortRichtlinie.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:52:58,697:Date extracted for markitdown for KISTERS_IS_PasswortRichtlinie.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:52:58,698:Cache not found for this file KISTERS_IS_PasswortRichtlinie.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:52:58,699:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:52:58,700:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:52:58,700:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
WARNING [accelerator_utils.py:66]:2025-09-22 12:52:58,701:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:52:58,701:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:52:59,551:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:52:59,551:Accelerator device: 'cpu'
INFO [base_pipeline.py:39]:2025-09-22 12:52:59,821:Processing document KISTERS_IS_PasswortRichtlinie.pdf
INFO [document_converter.py:299]:2025-09-22 12:53:24,689:Finished converting document KISTERS_IS_PasswortRichtlinie.pdf in 25.99 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:53:24,749:Saving png for file KISTERS_IS_PasswortRichtlinie.pdf, total pages: 12
INFO [docling_parse_process.py:537]:2025-09-22 12:53:27,748:Docling parsing successful for file KISTERS_IS_PasswortRichtlinie.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:53:27,774:Chunking document of 25 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:53:27,807:ingesting 9 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:53:28,129:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:53:28,139:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:53:28,155:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:53:30,577:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:53:44,923:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:53:44,954: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_PasswortRichtlinie.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
INFO [timing.py:139]:2025-09-22 12:53:44,954:TIMING: Wall: 46265.4ms | CPU: 316650.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:53:44,958: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:53:45,537:TIMING: Wall:  580.0ms | CPU:   20.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:53:53,359:User: admin_compliance ingesting file: /tmp/gradio/16193c2318f95bdd0eb3bdf6f94d582a1d1f8f24eb96fbde0b131163bc9e8e07/KISTERS_IS_Policy.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:53:53,363:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_Policy.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:53:53,373:Date extracted for markitdown for KISTERS_IS_Policy.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:53:53,373:Cache not found for this file KISTERS_IS_Policy.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:53:53,375:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:53:53,379:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:53:53,380:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
WARNING [accelerator_utils.py:66]:2025-09-22 12:53:53,380:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:53:53,380:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:53:53,933:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:53:53,933:Accelerator device: 'cpu'
INFO [base_pipeline.py:39]:2025-09-22 12:53:54,247:Processing document KISTERS_IS_Policy.pdf
INFO [document_converter.py:299]:2025-09-22 12:54:14,678:Finished converting document KISTERS_IS_Policy.pdf in 21.30 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:54:14,718:Saving png for file KISTERS_IS_Policy.pdf, total pages: 9
INFO [docling_parse_process.py:537]:2025-09-22 12:54:17,085:Docling parsing successful for file KISTERS_IS_Policy.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:54:17,112:Chunking document of 18 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:54:17,139:ingesting 7 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:54:17,730:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:54:17,739:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:54:29,601:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:54:29,629: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_Policy.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
INFO [timing.py:139]:2025-09-22 12:54:29,630:TIMING: Wall: 36271.9ms | CPU: 267930.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:54:29,633: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:54:30,330:TIMING: Wall:  697.7ms | CPU:   20.0ms | timing.app.main.get_docs
INFO [main.py:361]:2025-09-22 12:54:38,754:User: admin_compliance ingesting file: /tmp/gradio/731b63f536301ebbba8f16931cdddd00e7767449eabff3d37ef6c729bbdd14f2/KISTERS_IS_Richtlinie.pdf to collection: compliance_center
INFO [main.py:386]:2025-09-22 12:54:38,757:New file in /home/tobi/crispy-octo-dollop/data folder: KISTERS_IS_Richtlinie.pdf
INFO [docling_parse_process.py:514]:2025-09-22 12:54:38,769:Date extracted for markitdown for KISTERS_IS_Richtlinie.pdf: 22-09-2025
INFO [docling_parse_process.py:526]:2025-09-22 12:54:38,769:Cache not found for this file KISTERS_IS_Richtlinie.pdf. Continuing with parsing.
INFO [document.py:321]:2025-09-22 12:54:38,770:detected formats: [<InputFormat.PDF: 'pdf'>]
INFO [document_converter.py:284]:2025-09-22 12:54:38,775:Going to convert document batch...
INFO [document_converter.py:319]:2025-09-22 12:54:38,776:Initializing pipeline for StandardPdfPipeline with options hash edfafc85ecb0f718824d543e40889984
WARNING [accelerator_utils.py:66]:2025-09-22 12:54:38,776:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:54:38,776:Accelerator device: 'cpu'
WARNING [accelerator_utils.py:66]:2025-09-22 12:54:39,533:CUDA is not available in the system. Fall back to 'CPU'
INFO [accelerator_utils.py:82]:2025-09-22 12:54:39,533:Accelerator device: 'cpu'
INFO [base_pipeline.py:39]:2025-09-22 12:54:39,810:Processing document KISTERS_IS_Richtlinie.pdf
INFO [document_converter.py:299]:2025-09-22 12:55:44,884:Finished converting document KISTERS_IS_Richtlinie.pdf in 66.11 sec.
INFO [docling_parse_process.py:534]:2025-09-22 12:55:45,055:Saving png for file KISTERS_IS_Richtlinie.pdf, total pages: 29
INFO [docling_parse_process.py:537]:2025-09-22 12:55:53,474:Docling parsing successful for file KISTERS_IS_Richtlinie.pdf
INFO [utils_ingestion.py:72]:2025-09-22 12:55:53,556:Chunking document of 68 elements post parsing for collection compliance_center for session: 745c752c-2abd-424e-9faa-e489bc21853f
INFO [utils_ingestion.py:76]:2025-09-22 12:55:53,623:ingesting 21 rows for session: 745c752c-2abd-424e-9faa-e489bc21853f to collection compliance_center
INFO [milvus_ingest.py:238]:2025-09-22 12:55:53,926:Embedding new chunks
INFO [milvus_ingest.py:62]:2025-09-22 12:55:53,937:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:55:53,956:Encoding text using embeddinggemma
INFO [milvus_ingest.py:62]:2025-09-22 12:55:53,973:Encoding text using embeddinggemma
INFO [_client.py:1786]:2025-09-22 12:56:13,780:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:56:28,685:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [_client.py:1786]:2025-09-22 12:56:45,046:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_ingestion.py:78]:2025-09-22 12:56:45,092: Milvus reponse to ingestion of /home/tobi/crispy-octo-dollop/data/KISTERS_IS_Richtlinie.pdf for session: 745c752c-2abd-424e-9faa-e489bc21853f is Ingestion Successful
INFO [timing.py:139]:2025-09-22 12:56:45,094:TIMING: Wall: 126340.5ms | CPU: 802600.0ms | timing.app.main.ingest_file_frontend
INFO [main.py:304]:2025-09-22 12:56:45,098: Getting available documents to chat for session: 745c752c-2abd-424e-9faa-e489bc21853f and collection compliance_center
INFO [timing.py:139]:2025-09-22 12:56:45,543:TIMING: Wall:  445.3ms | CPU:   10.0ms | timing.app.main.get_docs
INFO [main.py:186]:2025-09-22 12:57:03,428: User message to bot for session: 745c752c-2abd-424e-9faa-e489bc21853f, message:Wie müssen Dokumente der Sicherheitsstufe I3 vernichtet werden?
INFO [_client.py:1786]:2025-09-22 12:57:03,548:HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
INFO [utils_LLM.py:156]:2025-09-22 12:57:04,152:Retrieval completed, reranking now.
ERROR [main.py:235]:2025-09-22 12:57:25,538:No module named 'FlagEmbedding' for session: 745c752c-2abd-424e-9faa-e489bc21853f
Traceback (most recent call last):
  File "/home/tobi/crispy-octo-dollop/app/main.py", line 198, in add_message
    retrievals, results = await milvus_hybrid_retrieve(uri=MILVUS_URI,token=TOKEN, question=request.message, collection_name=collection, model= col_mod[collection], k=top_k)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/tobi/crispy-octo-dollop/app/utils/utils_LLM.py", line 157, in milvus_hybrid_retrieve
    reranked_results = await rerank_documents(query=question_dict["text_concat"], documents= search_results, device="cuda", top_k=k, model_name=MODEL_RERANK)
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/tobi/crispy-octo-dollop/app/utils/utils_LLM.py", line 93, in rerank_documents
    bge_rf = BGERerankFunction(model_name=model_name, device=device)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/local/lib/python3.12/site-packages/milvus_model/reranker/__init__.py", line 18, in BGERerankFunction
    return bgegreranker.BGERerankFunction(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/local/lib/python3.12/site-packages/milvus_model/utils/lazy_import.py", line 18, in __getattr__
    module = self._load()
             ^^^^^^^^^^^^
  File "/usr/local/lib/python3.12/site-packages/milvus_model/utils/lazy_import.py", line 12, in _load
    module = importlib.import_module(self.__name__)
